name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,60,122078158,,yes,,,"POLYGON ((-122.4302795 37.7718021, -122.4302824 37.7718178, -122.4302893 37.7718183, -122.4302903 37.7718268, -122.4303013 37.771832, -122.4303024 37.7718511, -122.4302976 37.7718563, -122.430299 37.7718722, -122.43031 37.7718759, -122.4303133 37.7718947, -122.430308 37.7719019, -122.4303091 37.7719162, -122.4303202 37.7719214, -122.4303247 37.7719416, -122.4303172 37.7719475, -122.4303182 37.771962, -122.4303297 37.7719679, -122.4303325 37.7719858, -122.4303248 37.771992, -122.4303288 37.772012, -122.4303362 37.7720157, -122.4303398 37.7720362, -122.430333 37.7720459, -122.4303089 37.772049, -122.4303015 37.772045, -122.4302773 37.772047, -122.4302715 37.7720549, -122.4302471 37.7720578, -122.4302399 37.7720518, -122.4302189 37.7720535, -122.4302131 37.7720629, -122.4301878 37.7720652, -122.4301821 37.7720594, -122.4301671 37.7720612, -122.4301585 37.7720678, -122.4301359 37.77207, -122.4301295 37.7720652, -122.4301153 37.772067, -122.4301071 37.7720755, -122.4300838 37.7720775, -122.4300757 37.7720726, -122.4300579 37.7720753, -122.4300503 37.7720819, -122.4300247 37.7720843, -122.4300223 37.7720768, -122.4299682 37.7718394, -122.4301045 37.7718231, -122.430259 37.7718046, -122.4302795 37.7718021))",POINT (-122.430155 37.7719415),775.5,8347.3
,61,122078159,,yes,,,"POLYGON ((-122.4302506 37.7716624, -122.4302383 37.7715959, -122.4300895 37.771613, -122.4300465 37.7716179, -122.4300588 37.7716845, -122.4300799 37.7716821, -122.430133 37.771676, -122.4302506 37.7716624))",POINT (-122.4301485 37.7716402),127.8,1375.1
,62,122078160,,apartments,,,"POLYGON ((-122.4305892 37.772186, -122.43069 37.7721736, -122.4307658 37.7721643, -122.4309389 37.7721427, -122.4309715 37.772139, -122.4310568 37.7721286, -122.4310954 37.7723254, -122.4310453 37.7723315, -122.4310501 37.772356, -122.4309834 37.7723642, -122.4309786 37.7723398, -122.4309265 37.7723462, -122.4309037 37.7722297, -122.4308889 37.7722315, -122.4309118 37.7723481, -122.4308634 37.7723541, -122.4308683 37.7723793, -122.4308018 37.7723874, -122.4307969 37.7723624, -122.4307477 37.7723684, -122.4307246 37.7722506, -122.4307128 37.7722521, -122.43074 37.7723905, -122.430725 37.7723924, -122.4306921 37.7723964, -122.4306906 37.7723886, -122.4306882 37.7723764, -122.4306281 37.7723838, -122.4305892 37.772186))",POINT (-122.4308441 37.7722594),930.2,10012.2
,63,122078161,,house,,,"POLYGON ((-122.4302555 37.7717331, -122.4302521 37.7717111, -122.4302633 37.7717106, -122.4302611 37.7716968, -122.4302574 37.7716768, -122.4302452 37.7716773, -122.4302439 37.7716702, -122.430134 37.7716838, -122.430133 37.771676, -122.4300799 37.7716821, -122.4300822 37.7717124, -122.4300619 37.7717139, -122.4300582 37.7716976, -122.4300038 37.7717017, -122.4300055 37.7717215, -122.4299947 37.7717226, -122.4299999 37.7717583, -122.4300917 37.7717463, -122.4300953 37.7717555, -122.4301341 37.7717542, -122.4301348 37.7717484, -122.4302555 37.7717331))",POINT (-122.4301334 37.7717155),154.6,1664.0
,64,122078162,,house,,,"POLYGON ((-122.4302383 37.7715959, -122.4302453 37.7715924, -122.4302425 37.7715784, -122.4302401 37.7715662, -122.4302455 37.7715585, -122.4302419 37.7715345, -122.4302308 37.7715256, -122.4302197 37.7715269, -122.4300976 37.7715414, -122.4300788 37.7715444, -122.4300805 37.7715549, -122.4300405 37.7715594, -122.4300401 37.7715513, -122.4300014 37.771554, -122.4300124 37.77161, -122.4300887 37.7716024, -122.4300895 37.771613, -122.4302383 37.7715959))",POINT (-122.4301319 37.7715719),148.0,1593.0
,65,122078163,,house,,,"POLYGON ((-122.4302197 37.7715269, -122.4301875 37.7713048, -122.4301924 37.7712956, -122.4301902 37.7712828, -122.4301779 37.7712749, -122.4301607 37.7712773, -122.430153 37.771287, -122.4301509 37.77128, -122.4301058 37.7712853, -122.4301067 37.7712921, -122.4300685 37.7712975, -122.4300507 37.7712991, -122.4300527 37.7713076, -122.4300756 37.7714188, -122.4301085 37.7714145, -122.4301175 37.7714566, -122.4301092 37.7714581, -122.4301131 37.7714914, -122.4300906 37.7714937, -122.4300922 37.7715024, -122.4300976 37.7715414, -122.4302197 37.7715269))",POINT (-122.4301418 37.7714047),291.5,3137.5
,66,122078164,,house,,,"POLYGON ((-122.430259 37.7718046, -122.4302577 37.7717908, -122.4302568 37.7717803, -122.4302681 37.7717793, -122.4302621 37.7717453, -122.4302321 37.7717485, -122.4301348 37.7717603, -122.4301341 37.7717542, -122.4300953 37.7717555, -122.4300219 37.7717659, -122.4300301 37.7718172, -122.4301028 37.7718059, -122.4301045 37.7718231, -122.430259 37.7718046))",POINT (-122.4301469 37.7717839),134.0,1442.8
,67,122078166,,house,,,"POLYGON ((-122.4310568 37.7721286, -122.431057 37.7721177, -122.4310811 37.7721148, -122.4310885 37.7721247, -122.431118 37.7721211, -122.4311205 37.7721118, -122.4311492 37.772109, -122.4311583 37.7721161, -122.4311969 37.7723129, -122.4310954 37.7723254, -122.4310568 37.7721286))",POINT (-122.4311262 37.7722178),207.0,2228.2
,68,132501623,,terrace,,,"POLYGON ((-122.4325361 37.7686107, -122.4325297 37.7685466, -122.432642 37.7685396, -122.4327742 37.7685314, -122.4327805 37.7685954, -122.4325361 37.7686107))",POINT (-122.4326551 37.768571),154.1,1659.0
,69,132501625,,terrace,,,"POLYGON ((-122.4329535 37.7675865, -122.4330368 37.767581, -122.4330487 37.7676836, -122.4330533 37.7677197, -122.4330579 37.767761, -122.4329714 37.767773, -122.4329535 37.7675865))",POINT (-122.4330047 37.7676761),153.2,1649.0
